Date,States Affected,Total No of Cases,Total No Discharged,Total No of Deaths
11/04/2020,Oyo,11,4,0
11/04/2020,Ogun,7,2,0
11/04/2020,Bauchi,6,0,0
11/04/2020,Kaduna,6,0,0
11/04/2020,Akwa Ibom,5,0,0
11/04/2020,Katsina,4,0,1
11/04/2020,Delta,3,0,1
11/04/2020,Ekiti,2,1,0
11/04/2020,Enugu,2,0,0
11/04/2020,Rivers,2,1,0
11/04/2020,Kwara,2,0,0
11/04/2020,Ondo,2,0,0
11/04/2020,Benue,1,0,0
11/04/2020,Anambra,1,0,0
11/04/2020,Niger,1,0,0
11/04/2020,Kano,1,0,0
12/04/2020,Lagos,176,55,5
12/04/2020,FCT,56,11,2
12/04/2020,Osun,20,11,0
12/04/2020,Edo,12,0,1
12/04/2020,Oyo,11,4,0
12/04/2020,Ogun,7,2,0
12/04/2020,Bauchi,6,0,0
12/04/2020,Kaduna,6,0,0
12/04/2020,Akwa Ibom,5,0,0
12/04/2020,Katsina,5,0,1
12/04/2020,Kwara,4,0,0
12/04/2020,Delta,3,0,1
12/04/2020,Ekiti,2,1,0
12/04/2020,Enugu,2,0,0
12/04/2020,Rivers,2,1,0
12/04/2020,Ondo,2,0,0
12/04/2020,Benue,1,0,0
12/04/2020,Anambra,1,0,0
12/04/2020,Niger,1,0,0
12/04/2020,Kano,1,0,0
13/04/2020,Lagos,189,61,5
13/04/2020,FCT,56,11,2
13/04/2020,Osun,20,11,0
13/04/2020,Edo,14,0,1
13/04/2020,Oyo,11,4,0
13/04/2020,Ogun,9,2,0
13/04/2020,Bauchi,6,0,0
13/04/2020,Kaduna,6,0,0
13/04/2020,Akwa Ibom,5,0,0
13/04/2020,Katsina,5,0,1
13/04/2020,Kwara,4,0,0
13/04/2020,Delta,3,0,1
13/04/2020,Ondo,3,0,0
13/04/2020,Kano,3,0,0
13/04/2020,Ekiti,2,1,0
13/04/2020,Enugu,2,0,0
13/04/2020,Rivers,2,1,0
13/04/2020,Benue,1,0,0
13/04/2020,Anambra,1,0,0
13/04/2020,Niger,1,0,0
14/04/2020,Lagos,214,69,6
14/04/2020,FCT,58,11,2
14/04/2020,Osun,20,11,0
14/04/2020,Edo,15,0,1
14/04/2020,Oyo,11,4,0
14/04/2020,Ogun,9,2,0
14/04/2020,Bauchi,6,0,0
14/04/2020,Kaduna,6,0,0
14/04/2020,Akwa Ibom,6,0,0
14/04/2020,Katsina,5,0,1
14/04/2020,Kwara,4,0,0
14/04/2020,Kano,4,0,0
14/04/2020,Delta,3,0,1
14/04/2020,Ondo,3,0,0
14/04/2020,Ekiti,2,1,0
14/04/2020,Enugu,2,0,0
14/04/2020,Rivers,2,1,0
14/04/2020,Benue,1,0,0
14/04/2020,Anambra,1,0,0
14/04/2020,Niger,1,0,0
15/04/2020,Lagos,232,85,7
15/04/2020,FCT,58,23,2
15/04/2020,Osun,20,11,0
15/04/2020,Kano,16,0,0
15/04/2020,Edo,15,0,1
15/04/2020,Oyo,11,4,0
15/04/2020,Ogun,9,2,0
15/04/2020,Katsina,7,0,1
15/04/2020,Bauchi,6,0,0
15/04/2020,Kaduna,6,0,0
15/04/2020,Akwa Ibom,6,0,0
15/04/2020,Kwara,4,0,0
15/04/2020,Delta,4,0,1
15/04/2020,Ondo,3,0,0
15/04/2020,Ekiti,2,1,0
15/04/2020,Enugu,2,1,0
15/04/2020,Rivers,2,1,0
15/04/2020,Niger,2,0,0
15/04/2020,Benue,1,0,0
15/04/2020,Anambra,1,0,0
16/04/2020,Lagos,251,90,7
16/04/2020,FCT,67,23,2
16/04/2020,Kano,21,0,1
16/04/2020,Osun,20,17,0
16/04/2020,Edo,15,5,1
16/04/2020,Oyo,13,5,0
16/04/2020,Ogun,9,5,0
16/04/2020,Katsina,7,0,1
16/04/2020,Kaduna,6,0,0
16/04/2020,Bauchi,6,0,0
16/04/2020,Akwa Ibom,6,3,0
16/04/2020,Kwara,4,0,0
16/04/2020,Delta,4,0,1
16/04/2020,Ondo,3,0,0
16/04/2020,Rivers,2,1,0
16/04/2020,Niger,2,0,0
16/04/2020,Enugu,2,2,0
16/04/2020,Ekiti,2,1,0
16/04/2020,Benue,1,0,0
16/04/2020,Anambra,1,0,0
17/04/2020,Lagos,283,90,11
17/04/2020,FCT,69,23,2
17/04/2020,Kano,27,0,1
17/04/2020,Osun,20,17,0
17/04/2020,Edo,15,6,1
17/04/2020,Oyo,15,5,0
17/04/2020,Ogun,10,5,0
17/04/2020,Katsina,9,0,1
17/04/2020,Kwara,9,0,0
17/04/2020,Kaduna,6,4,0
17/04/2020,Bauchi,6,0,0
17/04/2020,Akwa Ibom,6,3,0
17/04/2020,Delta,4,0,1
17/04/2020,Ondo,3,0,0
17/04/2020,Ekiti,3,2,0
17/04/2020,Rivers,2,2,0
17/04/2020,Niger,2,0,0
17/04/2020,Enugu,2,2,0
17/04/2020,Benue,1,0,0
17/04/2020,Anambra,1,0,0
18/04/2020,Lagos,306,93,13
18/04/2020,FCT,81,23,2
18/04/2020,Kano,37,0,1
18/04/2020,Osun,20,18,0
18/04/2020,Oyo,16,5,0
18/04/2020,Edo,15,6,1
18/04/2020,Ogun,12,5,0
18/04/2020,Katsina,9,0,1
18/04/2020,Kwara,9,2,0
18/04/2020,Kaduna,6,4,0
18/04/2020,Bauchi,6,1,0
18/04/2020,Akwa Ibom,6,3,0
18/04/2020,Delta,4,0,1
18/04/2020,Ekiti,4,2,0
18/04/2020,Ondo,3,0,0
18/04/2020,Rivers,2,2,0
18/04/2020,Niger,2,0,0
18/04/2020,Enugu,2,2,0
18/04/2020,Benue,1,0,0
18/04/2020,Anambra,1,0,0
19/04/2020,Lagos,376,97,13
19/04/2020,FCT,88,23,2
19/04/2020,Kano,36,0,1
19/04/2020,Osun,20,18,0
19/04/2020,Oyo,16,5,0
19/04/2020,Edo,15,6,1
19/04/2020,Ogun,12,5,0
19/04/2020,Katsina,12,0,1
19/04/2020,Kwara,9,2,0
19/04/2020,Akwa Ibom,9,3,1
19/04/2020,Bauchi,7,1,0
19/04/2020,Kaduna,6,4,0
19/04/2020,Delta,4,0,1
19/04/2020,Ekiti,3,2,0
19/04/2020,Ondo,3,0,0
19/04/2020,Rivers,2,2,0
19/04/2020,Niger,2,0,0
19/04/2020,Enugu,2,2,0
19/04/2020,Jigawa,2,0,0
19/04/2020,Benue,1,0,0
19/04/2020,Anambra,1,0,0
19/04/2020,Borno,1,0,1
20/04/2020,Lagos,376,97,13
20/04/2020,FCT,89,35,3
20/04/2020,Kano,59,0,1
20/04/2020,Osun,20,18,0
20/04/2020,Oyo,16,5,0
20/04/2020,Edo,15,7,1
20/04/2020,Ogun,12,5,0
20/04/2020,Katsina,12,0,1
20/04/2020,Kwara,9,2,0
20/04/2020,Akwa Ibom,9,3,1
20/04/2020,Kaduna,9,4,0
20/04/2020,Bauchi,7,5,0
20/04/2020,Gombe,5,0,0
20/04/2020,Delta,4,0,1
20/04/2020,Ekiti,4,2,0
20/04/2020,Ondo,3,1,0
20/04/2020,Borno,3,0,1
20/04/2020,Rivers,2,2,0
20/04/2020,Niger,2,0,0
20/04/2020,Enugu,2,2,0
20/04/2020,Jigawa,2,0,0
20/04/2020,Abia,2,0,0
20/04/2020,Benue,1,0,0
20/04/2020,Anambra,1,0,0
20/04/2020,Sokoto,1,0,0
21/04/2020,Lagos,430,106,15
21/04/2020,FCT,118,35,3
21/04/2020,Kano,73,0,1
21/04/2020,Osun,20,18,0
21/04/2020,Ogun,20,5,0
21/04/2020,Oyo,16,5,0
21/04/2020,Katsina,16,0,1
21/04/2020,Edo,15,7,2
21/04/2020,Kwara,9,2,0
21/04/2020,Akwa Ibom,9,3,1
21/04/2020,Kaduna,9,4,0
21/04/2020,Borno,9,0,1
21/04/2020,Bauchi,8,5,0
21/04/2020,Gombe,5,0,0
21/04/2020,Delta,4,0,1
21/04/2020,Ekiti,4,2,0
21/04/2020,Ondo,3,1,0
21/04/2020,Rivers,3,2,0
21/04/2020,Niger,2,0,0
21/04/2020,Enugu,2,2,0
